2019-10-04 00:12:06 ||| [main] ||| INFO  ||| c.objectspace.coorperation.CoorperationApplication ||| Starting CoorperationApplication on DESKTOP-URDLGQF with PID 10572 (C:\NoCortY_Pad\WorkSpace\github\coorperation\target\classes started by nocor in C:\NoCortY_Pad\WorkSpace\github\coorperation)
2019-10-04 00:12:06 ||| [main] ||| INFO  ||| c.objectspace.coorperation.CoorperationApplication ||| No active profile set, falling back to default profiles: default
2019-10-04 00:12:20 ||| [main] ||| INFO  ||| com.objectspace.coorperation.cache.RedisCache ||| MyBatis开启二级缓存!
2019-10-04 00:12:34 ||| [main] ||| INFO  ||| c.objectspace.coorperation.CoorperationApplication ||| Started CoorperationApplication in 29.696 seconds (JVM running for 32.074)
2019-10-04 00:12:41 ||| [http-nio-7301-exec-10] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| ===================================================================================
2019-10-04 00:12:42 ||| [http-nio-7301-exec-10] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| 请求地址:/frontend/login
2019-10-04 00:12:42 ||| [http-nio-7301-exec-10] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| 用户名:游客
2019-10-04 00:12:42 ||| [http-nio-7301-exec-10] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| 返回信息:"/frontend/login"
2019-10-04 00:12:42 ||| [http-nio-7301-exec-10] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| ===================================================================================
2019-10-04 00:12:49 ||| [http-nio-7301-exec-3] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| ===================================================================================
2019-10-04 00:12:49 ||| [http-nio-7301-exec-3] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| 请求地址:/frontend/login
2019-10-04 00:12:49 ||| [http-nio-7301-exec-3] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| 用户名:游客
2019-10-04 00:12:49 ||| [http-nio-7301-exec-3] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| 返回信息:"/frontend/login"
2019-10-04 00:12:49 ||| [http-nio-7301-exec-3] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| ===================================================================================
2019-10-04 00:12:51 ||| [http-nio-7301-exec-4] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| ===================================================================================
2019-10-04 00:12:51 ||| [http-nio-7301-exec-4] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| 请求地址:/frontend/login
2019-10-04 00:12:51 ||| [http-nio-7301-exec-4] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| 用户名:游客
2019-10-04 00:12:51 ||| [http-nio-7301-exec-4] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| 返回信息:"/frontend/login"
2019-10-04 00:12:51 ||| [http-nio-7301-exec-4] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| ===================================================================================
2019-10-04 00:13:02 ||| [http-nio-7301-exec-9] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| ===================================================================================
2019-10-04 00:13:02 ||| [http-nio-7301-exec-9] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| 请求地址:/frontend/login
2019-10-04 00:13:02 ||| [http-nio-7301-exec-9] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| 用户名:游客
2019-10-04 00:13:02 ||| [http-nio-7301-exec-9] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| 返回信息:"/frontend/login"
2019-10-04 00:13:02 ||| [http-nio-7301-exec-9] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| ===================================================================================
2019-10-04 00:13:03 ||| [http-nio-7301-exec-7] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| ===================================================================================
2019-10-04 00:13:03 ||| [http-nio-7301-exec-7] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| 请求地址:/frontend/login
2019-10-04 00:13:03 ||| [http-nio-7301-exec-7] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| 用户名:游客
2019-10-04 00:13:03 ||| [http-nio-7301-exec-7] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| 返回信息:"/frontend/login"
2019-10-04 00:13:03 ||| [http-nio-7301-exec-7] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| ===================================================================================
2019-10-04 00:13:05 ||| [http-nio-7301-exec-8] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| ===================================================================================
2019-10-04 00:13:05 ||| [http-nio-7301-exec-8] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| 请求地址:/frontend/login
2019-10-04 00:13:05 ||| [http-nio-7301-exec-8] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| 用户名:游客
2019-10-04 00:13:05 ||| [http-nio-7301-exec-8] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| 返回信息:"/frontend/login"
2019-10-04 00:13:05 ||| [http-nio-7301-exec-8] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| ===================================================================================
2019-10-04 00:13:06 ||| [http-nio-7301-exec-2] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| ===================================================================================
2019-10-04 00:13:06 ||| [http-nio-7301-exec-2] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| 请求地址:/frontend/login
2019-10-04 00:13:06 ||| [http-nio-7301-exec-2] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| 用户名:游客
2019-10-04 00:13:06 ||| [http-nio-7301-exec-2] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| 返回信息:"/frontend/login"
2019-10-04 00:13:06 ||| [http-nio-7301-exec-2] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| ===================================================================================
2019-10-04 00:13:49 ||| [main] ||| INFO  ||| c.objectspace.coorperation.CoorperationApplication ||| Starting CoorperationApplication on DESKTOP-URDLGQF with PID 1180 (C:\NoCortY_Pad\WorkSpace\github\coorperation\target\classes started by nocor in C:\NoCortY_Pad\WorkSpace\github\coorperation)
2019-10-04 00:13:49 ||| [main] ||| INFO  ||| c.objectspace.coorperation.CoorperationApplication ||| No active profile set, falling back to default profiles: default
2019-10-04 00:13:59 ||| [main] ||| INFO  ||| com.objectspace.coorperation.cache.RedisCache ||| MyBatis开启二级缓存!
2019-10-04 00:14:15 ||| [main] ||| INFO  ||| c.objectspace.coorperation.CoorperationApplication ||| Started CoorperationApplication in 28.56 seconds (JVM running for 30.869)
2019-10-04 00:14:20 ||| [http-nio-7301-exec-10] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| ===================================================================================
2019-10-04 00:14:20 ||| [http-nio-7301-exec-10] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| 请求地址:/frontend/login
2019-10-04 00:14:20 ||| [http-nio-7301-exec-10] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| 用户名:游客
2019-10-04 00:14:20 ||| [http-nio-7301-exec-10] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| 返回信息:"/frontend/login"
2019-10-04 00:14:20 ||| [http-nio-7301-exec-10] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| ===================================================================================
2019-10-04 00:14:37 ||| [http-nio-7301-exec-10] ||| INFO  ||| com.objectspace.coorperation.cache.RedisCache ||| 尝试从Redis缓存中读取数据...
2019-10-04 00:14:37 ||| [http-nio-7301-exec-10] ||| INFO  ||| com.objectspace.coorperation.cache.RedisCache ||| 成功命中Redis缓存并get所需数据!
2019-10-04 00:14:39 ||| [http-nio-7301-exec-7] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| ===================================================================================
2019-10-04 00:14:39 ||| [http-nio-7301-exec-7] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| 请求地址:/frontend/index
2019-10-04 00:14:39 ||| [http-nio-7301-exec-7] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| 用户名:游客
2019-10-04 00:14:39 ||| [http-nio-7301-exec-7] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| 返回信息:"/frontend/index"
2019-10-04 00:14:39 ||| [http-nio-7301-exec-7] ||| INFO  ||| com.objectspace.coorperation.aop.AutoLogAop ||| ===================================================================================
